room_id,price_info_str,room_size,maintenance_cost_str,room_floor_str,room_options,direction_str,building_approval_date_str,safeties
60b056fe2b16d312d89fbd37,"[['500', '40']]",16.52,4만 원,2층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2017.08.08,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
614d91b589246c04c38438ed,"[['500', '38']]",26.0,4만 원,4층,"['신발장', '가스레인지']",동,1990.12.29,
6138769ac825567731de1999,"[['500', '40']]",16.52,없음,3층,"['옷장', '신발장', '가스레인지', '전자레인지', '전자도어락']",서,2006.08.18,
5fe2b07702b11c2969e38da5,"[['500', '36']]",16.5,4만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지']",서,2016.08.18,
6139941fe4f091284a539d15,"[['500', '40']]",16.52,4만 원,4층,"['옷장', '신발장', '인덕션', '전자도어락']",남,2001.07.13,"[{'seq': 3, 'name': 'CCTV'}]"
614bf2e181521b6ea66bf271,"[['1000', '35']]",19.0,5만 원,3층,"['신발장', '인덕션', '전자도어락']",동,2004.02.26,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 7, 'name': '화재경보기'}]"
610b5d07b10e5b17aa395abb,"[['3000', '30']]",19.83,4만 원,4층,"['옷장', '신발장', '인덕션', '전자도어락']",남,2013.06.27,"[{'seq': 0, 'name': '비디오폰'}, {'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 7, 'name': '화재경보기'}]"
601119465f1cde1815a253c0,"[['1000', '40']]",19.8,5만 원,4층,"['책상', '옷장', '신발장', '인덕션', '전자도어락']",동,2012.12.31,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
602382cf70c6b12ae3799b09,"[['500', '40']]",16.52,4만 원,4층,"['책상', '옷장', '신발장', '인덕션']",서,2010.02.19,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
614beb29096fc21597608506,"[['1000', '45']]",33.05,4.2만 원,3층,"['옷장', '신발장', '가스레인지', '전자도어락']",동,2003.12.05,"[{'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}, {'seq': 5, 'name': '인터폰'}, {'seq': 6, 'name': '카드키'}, {'seq': 7, 'name': '화재경보기'}]"
61244310c1f6041ca25d7cc2,"[['500', '30']]",23.14,4만 원,반지층,"['옷장', '신발장', '인덕션', '전자도어락']",동,2010.12.27,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}, {'seq': 7, 'name': '화재경보기'}]"
